number,value,datetime_start,datetime_complete,duration,params_attn_heads,params_batch_size,params_cnn_channels,params_drop_cls,params_drop_cnn,params_drop_lstm,params_fc_hidden,params_grad_clip,params_label_smoothing,params_lr,params_lstm_hidden,params_lstm_layers,params_weight_decay,state
10,3.7746639977123246,2026-03-18 07:53:03.703662,2026-03-18 08:00:32.436491,0 days 00:07:28.732829,2,32,64,0.47886235933603777,0.16551453024339552,0.48701457375048707,256,2.9592343920615445,0.003592375122963995,0.0005957817331548199,64,2,1.0567900894501666e-06,COMPLETE
11,5.204460966542751,2026-03-18 08:00:32.457491,2026-03-18 08:08:03.205253,0 days 00:07:30.747762,8,32,64,0.3000111181934621,0.29724641482173403,0.370727223238246,256,0.5554391365144016,0.067750486981173,0.0008060160386796668,128,2,0.00099634174989772,COMPLETE
12,5.80497569345153,2026-03-18 08:08:03.227308,2026-03-18 08:15:31.314752,0 days 00:07:28.087444,2,32,64,0.416666147040797,0.2252873486993009,0.38562078293136515,256,1.3289427271094114,0.07419360247945832,0.0008987848154987935,64,2,0.0001631785454224566,COMPLETE
13,0.3431512725193023,2026-03-18 08:15:31.335796,2026-03-18 08:17:46.559371,0 days 00:02:15.223575,2,32,64,0.4391189037214763,0.20319304217103884,0.41241545765478393,256,1.4397930457238686,0.006835514880796284,0.0016717054138354094,64,3,0.0002621093145186158,PRUNED
14,0.6291106662853875,2026-03-18 08:17:46.581051,2026-03-18 08:20:23.938114,0 days 00:02:37.357063,2,32,64,0.467908369433241,0.16788476792903503,0.26310891328429686,256,1.2742148651415042,0.0754880549109129,0.00022171166857551944,64,2,0.008110840524533395,PRUNED
15,0.37174721189591076,2026-03-18 08:20:23.960693,2026-03-18 08:22:38.159117,0 days 00:02:14.198424,2,32,64,0.2748597797895145,0.2332598272775705,0.16464537669284718,64,1.3614444761569455,0.1934440802833483,0.0003219134429790257,64,2,0.00020437523764127249,PRUNED
16,0.5433228481555619,2026-03-18 08:22:38.181346,2026-03-18 08:25:16.195904,0 days 00:02:38.014558,4,32,64,0.40608175472742025,0.1438059532170728,0.3325609828265449,256,2.061958593477761,0.08081435733618125,0.0016210639462133304,64,3,0.0018319741835711588,PRUNED
17,0.22876751501286818,2026-03-18 08:25:16.218055,2026-03-18 08:27:30.700467,0 days 00:02:14.482412,2,32,64,0.4980076212511404,0.04900231226099801,0.4013113695664778,256,2.596467666764789,0.028409063742924328,0.00485041132452053,64,2,0.0005737728970852225,PRUNED
18,0.2573634543894767,2026-03-18 08:27:30.722108,2026-03-18 08:29:45.729356,0 days 00:02:15.007248,2,32,256,0.5989879313923893,0.24004190884532206,0.25829602629402315,64,1.540851652625727,0.09203460889046924,0.0002850774105338205,64,2,0.00010443765321794136,PRUNED
19,0.37174721189591076,2026-03-18 08:29:45.751362,2026-03-18 08:32:01.075215,0 days 00:02:15.323853,2,32,128,0.4359453507286073,0.18606846549996361,0.4997653976350741,128,2.9393328628332713,0.0543772013564752,0.0012542211920211761,64,3,0.003615977153631585,PRUNED
