number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_grad_clip,params_label_smoothing,params_lr,params_weight_decay,state
37,1.0008578781812982,2026-03-18 13:32:46.827143,2026-03-18 13:33:51.783786,0 days 00:01:04.956643,32,128,0.19368149901463835,2.031533557033473,0.16603969480849706,0.0006647026811015081,0.00606761571397803,PRUNED
38,14.383757506434087,2026-03-18 13:33:51.798381,2026-03-18 13:37:26.974424,0 days 00:03:35.176043,32,256,0.16738620626358397,1.7312284966209568,0.16904509313900806,0.001143596207033431,0.0001841397546904659,COMPLETE
39,1.54418072633686,2026-03-18 13:37:26.990471,2026-03-18 13:38:32.309374,0 days 00:01:05.318903,32,256,0.17972290152754766,1.7122433231385519,0.19997846713145523,0.0010785893787692237,0.009782935472183422,PRUNED
40,0.3431512725193023,2026-03-18 13:38:32.332018,2026-03-18 13:39:38.143101,0 days 00:01:05.811083,32,128,0.13631343058517995,1.1087863861969296,0.14986281194857015,0.00021450706521689505,0.0002377678754739149,PRUNED
41,14.812696597083214,2026-03-18 13:39:38.159168,2026-03-18 13:43:14.610627,0 days 00:03:36.451459,32,256,0.1655462916804163,1.8155098034866484,0.16653164343451743,0.0015484826309468207,0.0015226120847122249,COMPLETE
42,4.26079496711467,2026-03-18 13:43:14.625200,2026-03-18 13:44:52.278646,0 days 00:01:37.653446,32,256,0.19261835044657846,1.8353067666647465,0.16880763523600884,0.001402178928692191,0.004746630581600244,PRUNED
43,1.3440091507006005,2026-03-18 13:44:52.294511,2026-03-18 13:46:00.554446,0 days 00:01:08.259935,32,256,0.14390455403342464,1.603469737589084,0.19424585679532994,0.00033860767069078453,0.003773856080042793,PRUNED
44,3.2027452101801543,2026-03-18 13:46:00.569557,2026-03-18 13:47:30.196167,0 days 00:01:29.626610,32,256,0.21320783656987533,1.2251784873752936,0.15663234819797403,0.0009844592795593247,0.0022649099496414088,PRUNED
45,1.4297969688304262,2026-03-18 13:47:30.214114,2026-03-18 13:48:36.165642,0 days 00:01:05.951528,32,256,0.24000425344513193,2.21816299104839,0.1905208943230967,0.0005386924979125709,0.0006304020593639546,PRUNED
46,1.1724335144409495,2026-03-18 13:48:36.181643,2026-03-18 13:49:42.245624,0 days 00:01:06.063981,32,64,0.12540404808039785,1.8808385758065187,0.12663369930558277,0.0019733525643529514,0.0006494421721478461,PRUNED
47,2.3162710895052903,2026-03-18 13:49:42.266850,2026-03-18 13:50:59.045770,0 days 00:01:16.778920,32,256,0.17516591352698901,1.6745098096452398,0.10993000785827975,0.0006698878010227081,0.0027250236563729374,PRUNED
48,1.1152416356877324,2026-03-18 13:50:59.061709,2026-03-18 13:52:05.625363,0 days 00:01:06.563654,32,256,0.399233803606746,1.4351609920833377,0.03552796503785868,0.0015816719983885725,0.0009384260275261929,PRUNED
49,0.1429796968830426,2026-03-18 13:52:05.641376,2026-03-18 13:53:12.499825,0 days 00:01:06.858449,32,256,0.19935681189987808,2.060497780175846,0.14688878625432558,3.263922046630712e-05,0.00023417157990105752,PRUNED
50,15.07006005147269,2026-03-21 03:28:14.545898,2026-03-21 03:31:37.352907,0 days 00:03:22.807009,32,256,0.15578184666950617,1.9485256437000644,0.16680310404901363,0.001072700836412254,0.0001315483216813204,COMPLETE
51,13.668859022018873,2026-03-21 03:31:37.369908,2026-03-21 03:34:58.487630,0 days 00:03:21.117722,32,256,0.15653197244868242,1.9180716672189935,0.16255016048951065,0.0010272334672745264,0.00013224728394112378,COMPLETE
52,14.269373748927652,2026-03-21 03:34:58.503704,2026-03-21 03:38:21.077783,0 days 00:03:22.574079,32,256,0.15860630829003042,1.8324423439970519,0.16162105000502128,0.0007025951458630334,0.00014997833941242755,COMPLETE
53,2.7738061195310264,2026-03-21 03:38:21.093782,2026-03-21 03:39:31.877929,0 days 00:01:10.784147,32,256,0.13702641581449848,1.8114107452713015,0.16480042206035028,0.0007261705019895939,0.00037389888328098655,PRUNED
54,1.6013726050900772,2026-03-21 03:39:31.893940,2026-03-21 03:40:32.255648,0 days 00:01:00.361708,32,256,0.15606206620918867,1.9730831091874566,0.13033260747675035,0.00042529632505061894,0.00013155578327326493,PRUNED
55,0.2859593937660852,2026-03-21 03:40:32.271648,2026-03-21 03:41:32.603364,0 days 00:01:00.331716,32,64,0.11639943796268133,1.9443703909605536,0.14451452094061412,0.0002755133741193011,6.490981827625716e-05,PRUNED
56,0.8006863025450386,2026-03-21 03:41:32.619871,2026-03-21 03:42:33.133213,0 days 00:01:00.513342,32,256,0.3812683478098066,1.5942892442493979,0.16114038818545892,0.0011386069815636627,0.0001447032692717407,PRUNED
57,4.203603088361453,2026-03-21 03:42:33.150216,2026-03-21 03:44:03.789981,0 days 00:01:30.639765,32,256,0.14979014773976504,2.133041761864121,0.11140485406984504,0.0004999959836539501,0.00033207091249067564,PRUNED
58,4.575350300257363,2026-03-21 03:44:03.805577,2026-03-21 03:45:45.141593,0 days 00:01:41.336016,32,256,0.18500687441373534,1.7499101606242242,0.1549201949966442,0.0008609230753724746,0.00020183185596568397,PRUNED
59,1.7729482413497284,2026-03-21 03:45:45.157602,2026-03-21 03:46:46.092963,0 days 00:01:00.935361,32,256,0.12787933906906776,1.4730393146514031,0.1795177052933509,0.0014794159621861471,7.11741355139686e-05,PRUNED
